selected_model,raw_action,dose,blood glucose,reward,meal,risk,time
highmodel,0.0,1.660253882408142,145.89212,-6.060846508562447,0.0,1.7217462391352312,00:03
highmodel,0.0,0.0,144.19067,-4.887081272732633,0.0,1.5601974647484695,00:06
highmodel,0.0,0.0,142.0957,-3.8016018898964417,0.0,1.4451159065785024,00:09
highmodel,0.0,0.0,139.76083,12.26059238417595,0.0,1.3621647307942217,00:12
highmodel,0.0,0.0,137.36249,14.251652685007862,0.0,1.300903208750407,00:15
highmodel,0.0,0.0,135.09555,14.222111774524103,0.0,1.2536268328462006,00:18
highmodel,0.0,0.0,133.17018,14.175993167001536,0.0,1.2146169216986844,00:21
highmodel,0.0,0.0,131.80927,14.117075325017414,0.0,1.179642174126869,00:24
highmodel,0.0,0.0,131.20535,14.049948836401594,0.0,1.1456183549138819,00:27
highmodel,0.0,0.0,131.31392,13.991112863073901,0.0,1.1103669420810678,00:30
highmodel,0.0,0.0,131.72878,13.965667635177285,0.0,1.0724356672846627,00:33
highmodel,0.0,0.0,131.9676,13.979967994653581,0.0,1.03095829417134,00:36
highmodel,0.0,0.0,131.55286,14.034662680605344,0.0,0.985540159898577,00:39
highmodel,0.0,0.0,130.07555,14.118648090531,0.0,0.9361616511556317,00:42
highmodel,0.0,0.0,127.51896,14.18691880698718,0.0,0.8830951340986353,00:45
innermodel,0.0,0.0,124.452545,14.19160072450607,0.0,0.8268327726139669,00:48
innermodel,0.0,0.0,121.57728,14.145053769042041,0.0,0.7680237246736028,00:51
innermodel,0.0,0.0,119.59546,14.079172508540335,0.0,0.7074197639947382,00:54
innermodel,0.0,0.0,119.13266,14.01593284438151,0.0,0.6458286525960044,00:57
innermodel,0.0,0.0,120.34896,13.956034492837912,0.0,0.5840747170177972,01:00
innermodel,0.0,0.0,122.70566,13.896086285503348,0.0,0.5229661295623187,01:03
innermodel,0.0,0.0,125.50887,13.845880282780538,0.0,0.46326840621384635,01:06
innermodel,0.0,0.0,128.06479,13.832346612430957,0.0,0.4056836268734295,01:09
innermodel,0.0,0.0,129.72841,13.87774322236002,0.0,0.35083487294123905,01:12
innermodel,0.0,0.0,130.14781,13.967603838212455,0.0,0.2992553682704448,01:15
highmodel,0.0,0.11227073520421982,129.41074,14.056516268395477,0.0,0.25138179122149495,01:18
innermodel,0.0,0.0,127.70234,14.123422743484841,0.0,0.2075504960367915,01:21
innermodel,0.0,0.0,125.20738,14.160471751074304,0.0,0.16799390210772477,01:24
innermodel,0.0,0.0,122.10589,14.16474690936706,0.0,0.13284212265973966,01:27
innermodel,0.0,0.0,118.5522,14.137728047078266,0.0,0.10213399269236781,01:30
innermodel,0.0,0.0,114.662506,14.082496759160193,0.0,0.07583043232928541,01:33
innermodel,0.0,0.0,110.54422,14.001523408746463,0.0,0.05382608333377564,01:36
innermodel,0.0,0.0,106.304436,13.898930145751306,0.0,0.03595889614009143,01:39
innermodel,0.0,0.0,102.0607,13.78208911939857,0.0,0.02201825736403492,01:42
innermodel,0.0,0.0,97.99479,-11.334370483940756,0.0,0.011752275532245225,01:45
