t,bg,meal,reward
0,110.0,0,0.0
1,110.83317902091883,0,0.0
2,111.66543237308483,0,0.0
3,112.4958354161707,0,0.0
4,113.32346556555785,0,0.0
5,114.14740331733537,0,0.0
6,114.96673326987653,0,0.0
7,115.78054514085747,0,0.0
8,116.58793477858838,0,0.0
9,117.38800516653349,0,0.0
10,118.1798674199038,0,0.0
11,118.96264177321542,0,0.0
12,119.73545855771627,0,0.0
13,120.49745916759514,0,0.0
14,121.2477970139,0,0.0
15,121.98563846510507,0,0.0
16,122.71016377328253,0,0.0
17,123.42056798484903,0,0.0
18,124.11606183487588,0,0.0
19,124.79587262396882,0,0.0
20,125.45924507674343,0,0.0
21,126.10544218094228,0,0.0
22,126.73374600626165,0,0.0
23,127.343458501978,0,0.0
24,127.93390227248807,0,0.0
25,128.50442132990094,0,0.0
26,129.05438182284598,0,0.0
27,129.58317274068708,0,0.0
28,130.0902065923603,0,0.0
29,130.5749200590813,0,0.0
30,131.0367746201974,0,0.0
31,131.47525715148814,0,0.0
32,131.88988049525062,0,0.0
33,132.28018400153587,0,0.0
34,132.64573403993452,0,0.0
35,132.9861244813439,0,0.0
36,133.30097714918065,0,0.0
37,133.58994223953832,0,0.0
38,133.85269870982208,0,0.0
39,134.08895463542981,0,0.0
40,134.2984475340828,0,0.0
41,134.48094465744563,0,0.0
42,134.6362432497115,0,0.0
43,134.76417077286564,0,0.0
44,134.8645850983764,0,0.0
45,134.93737466510137,0,0.0
46,134.9824586032325,0,0.0
47,134.99978682414329,0,0.0
48,134.98934007603762,0,0.0
49,134.9511299653387,0,0.0
50,134.88519894379414,0,0.0
51,134.79162026131172,0,0.0
52,134.67049788457825,0,0.0
53,134.5219663815517,0,0.0
54,134.34619077195487,0,0.0
55,134.1433663439375,0,0.0
56,133.91371843710917,0,0.0
57,133.65750219218535,0,0.0
58,133.37500226752394,0,0.0
59,133.0665325228674,0,0.0
60,132.73243567064205,0,0.0
61,132.37308289520175,0,0.0
62,131.98887344043905,0,0.0
63,131.58023416622183,0,0.0
64,131.14761907414865,0,0.0
65,130.69150880314902,0,0.0
66,130.21241009548976,0,0.0
67,129.7108552337801,0,0.0
68,129.18740144960137,0,0.0
69,128.64263030441802,0,0.0
70,128.07714704345813,0,0.0
71,127.49157992328097,0,0.0
72,126.88657951377877,0,0.0
73,126.26281797538824,0,0.0
74,125.62098831231472,0,0.0
75,124.9618036025989,0,0.0
76,124.28599620588119,0,0.0
77,123.59431694974407,0,0.0
78,122.8875342955366,0,0.0
79,122.16643348460745,0,0.0
80,121.4318156658953,0,0.0
81,120.68449700584574,0,0.0
82,119.92530778164375,0,0.0
83,119.15509145876875,0,0.0
84,118.37470375389762,0,0.0
85,117.5850116841964,0,0.0
86,116.78689260405706,0,0.0
87,115.98123323034956,0,0.0
88,115.16892865727209,0,0.0
89,114.35088136189407,0,0.0
90,113.52800020149668,0,0.0
91,112.70119940382496,0,0.0
92,111.87139755137318,0,0.0
93,111.03951656083227,0,0.0
94,110.2064806588326,0,0.0
95,109.37321535512078,0,0.0
96,108.5406464143105,0,0.0
97,107.70969882735064,0,0.0
98,106.88129578385254,0,0.0
99,106.05635764641879,0,0.0
100,105.23580092811287,0,0.0
101,104.42053727420549,0,0.0
102,143.6114724493292,80,0.0
103,102.80950533116656,0,0.0
104,102.01552691178941,0,0.0
105,101.2304193077595,0,0.0
106,100.45505478008971,0,0.0
107,99.69029476515483,0,0.0
108,98.9369889176287,0,0.0
109,98.19597416651081,0,0.0
110,97.46807378529138,0,0.0
111,96.75409647728766,0,0.0
112,96.05483547716794,0,0.0
113,95.37106766966124,0,0.0
114,94.70355272643202,0,0.0
115,94.0530322620787,0,0.0
116,93.42022901019374,0,0.0
117,92.80584602040065,0,0.0
118,92.21056587726008,0,0.0
119,91.63504994191275,0,0.0
120,91.0799376173018,0,0.0
121,90.54584563779078,0,0.0
122,90.0333673839668,0,0.0
123,89.54307222338974,0,0.0
124,89.07550487802021,0,0.0
125,88.631184819029,0,0.0
126,88.2106056896603,0,0.0
127,87.81423475678999,0,0.0
128,87.4425123917883,0,0.0
129,87.09585158126363,0,0.0
130,86.77463746823095,0,0.0
131,86.47922692421481,0,0.0
132,86.2099481527621,0,0.0
133,85.96710032480522,0,0.0
134,85.75095324628069,0,0.0
135,85.56174705837257,0,0.0
136,85.3996919707136,0,0.0
137,85.26496802784058,0,0.0
138,85.15772490916339,0,0.0
139,85.07808176266994,0,0.0
140,85.02612707255179,0,0.0
141,85.00191856089748,0,0.0
142,85.00548312356278,0,0.0
143,85.03681680028923,0,0.0
144,85.09588477910398,0,0.0
145,85.18262143499618,0,0.0
146,85.29693040282692,0,0.0
147,85.43868468439169,0,0.0
148,85.60772678951642,0,0.0
149,85.8038689110304,0,0.0
150,136.02689313342154,100,0.0
151,86.27655167494231,0,0.0
152,86.55256716289732,0,0.0
153,86.85463294180668,0,0.0
154,87.18241341410275,0,0.0
155,87.53554441298175,0,0.0
156,87.91363360699617,0,0.0
157,88.31626093593816,0,0.0
158,88.74297907752992,0,0.0
159,89.19331394440246,0,0.0
160,89.6667652108105,0,0.0
