t,bg,meal,dose,reward
0,111.5,0.0,0.0,0.0
1,111.56727100056892,0.0,0.0,0.0
2,111.63391608279427,0.0,0.0,0.0
3,111.69988626883399,0.0,0.0,0.0
4,111.76513287444476,0.0,0.0,0.0
5,111.82960754473332,0.0,0.0,0.0
6,111.893262289744,0.0,0.0,0.0
7,111.95604951985595,0.0,0.0,0.0
8,112.01792208096451,0.0,0.0,0.0
9,112.07883328942046,0.0,0.0,0.0
10,112.13873696670169,0.0,0.0,0.0
11,112.19758747379177,0.0,0.0,0.0
12,112.25533974523978,0.0,0.0,0.0
13,112.31194932287661,0.0,0.0,0.0
14,112.36737238916251,0.0,0.0,0.0
15,112.42156580014135,0.0,0.0,0.0
16,112.47448711797708,0.0,0.0,0.0
17,112.52609464304825,0.0,0.0,0.0
18,112.57634744557683,0.0,0.0,0.0
19,112.62520539676754,0.0,0.0,0.0
20,112.67262919943471,0.0,0.0,0.0
21,112.71858041809367,0.0,0.0,0.0
22,112.76302150849416,0.0,0.0,0.0
23,112.80591584657367,0.0,0.0,0.0
24,112.84722775680895,0.0,0.0,0.0
25,112.88692253994435,0.0,0.0,0.0
26,112.92496650007617,0.0,0.0,0.0
27,112.9613269710724,0.0,0.0,0.0
28,112.99597234230805,0.0,0.0,0.0
29,113.02887208369654,0.0,0.0,0.0
30,113.05999676999785,0.0,0.0,0.0
31,113.08931810438527,0.0,0.0,0.0
32,113.11680894125254,0.0,0.0,0.0
33,113.14244330824388,0.0,0.0,0.0
34,113.16619642749005,0.0,0.0,0.0
35,113.18804473603407,0.0,0.0,0.0
36,113.20796590543068,0.0,0.0,0.0
37,113.2259388605044,0.0,0.0,0.0
38,113.24194379725157,0.0,0.0,0.0
39,113.25596219987217,0.0,0.0,0.0
40,113.26797685691822,0.0,0.0,0.0
41,113.27797187654579,0.0,0.0,0.0
42,113.28593270085841,0.0,0.0,0.0
43,113.29184611933061,0.0,0.0,0.0
44,113.29570028130047,0.0,0.0,0.0
45,113.29748470752088,0.0,0.0,0.0
46,113.29719030076045,0.0,0.0,0.0
47,113.29480935544447,0.0,0.0,0.0
48,113.29033556632847,0.0,0.0,0.0
49,113.2837640361962,0.0,0.0,0.0
50,113.27509128257583,0.0,0.0,0.0
51,113.2643152434677,0.0,0.0,0.0
52,113.2514352820787,0.0,0.0,0.0
53,113.23645219055817,0.0,0.0,0.0
54,113.21936819273164,0.0,0.0,0.0
55,113.20018694582902,0.0,0.0,0.0
56,113.17891354120458,0.0,0.0,0.0
57,113.15555450404716,0.0,0.0,0.0
58,113.13011779207918,0.0,0.0,0.0
59,113.10261279324433,0.0,0.0,0.0
60,113.07305032238422,0.0,0.0,0.0
61,113.04144261690486,0.0,0.0,0.0
62,113.0078033314351,0.0,0.0,0.0
63,112.97214753147934,0.0,0.0,0.0
64,112.93449168606764,0.0,0.0,0.0
65,112.8948536594076,0.0,0.0,0.0
66,112.85325270154217,0.0,0.0,0.0
67,112.80970943801925,0.0,0.0,0.0
68,112.76424585857889,0.0,0.0,0.0
69,112.71688530486506,0.0,0.0,0.0
70,112.66765245716942,0.0,0.0,0.0
71,112.61657332021548,0.0,0.0,0.0
72,112.56367520799174,0.0,0.0,0.0
73,112.50898672764387,0.0,0.0,0.0
74,112.45253776243585,0.0,0.0,0.0
75,112.39435945379113,0.0,0.0,0.0
76,112.33448418242553,0.0,0.0,0.0
77,112.27294554858412,0.0,0.0,0.0
78,112.20977835139499,0.0,0.0,0.0
79,112.14501856735345,0.0,0.0,0.0
80,112.07870332795108,0.0,0.0,0.0
81,112.01087089646417,0.0,0.0,0.0
82,111.94156064391727,0.0,0.0,0.0
83,111.87081302423775,0.0,0.0,0.0
84,111.79866954861801,0.0,0.0,0.0
85,111.72517275910268,0.0,0.0,0.0
86,111.6503662014185,0.0,0.0,0.0
87,111.57429439706524,0.0,0.0,0.0
88,111.49700281468657,0.0,0.0,0.0
89,111.41853784074021,0.0,0.0,0.0
90,111.33894674948753,0.0,0.0,0.0
91,111.25827767232272,0.0,0.0,0.0
92,111.1765795664626,0.0,0.0,0.0
93,111.0939021830186,0.0,0.0,0.0
94,111.01029603447239,0.0,0.0,0.0
95,110.92581236157788,0.0,0.0,0.0
96,110.84050309971201,0.0,0.0,0.0
97,110.75442084469749,0.0,0.0,0.0
98,110.66761881812116,0.0,0.0,0.0
99,110.58015083217174,0.0,0.0,0.0
100,110.49207125402124,0.0,0.0,0.0
