action,blood glucose,reward,meal,risk,time
0.25,132.98024,11.946335648122707,0.0,1.1112539455428385,00:03
0.41672022957856447,132.92569,14.004776369418543,0.0,1.0494515163025389,00:06
0.39354431861345207,133.17805,13.977818232529575,0.0,1.0093107438561124,00:09
0.0,133.66151,13.956920779503683,0.0,0.9834600187687905,00:12
0.0,134.32501,13.939642821724089,0.0,0.9669390526294132,00:15
0.0,135.13309,13.92459039393891,0.0,0.9562153729533289,00:18
0.0,136.06064,13.910915695879883,0.0,0.9486717157097271,00:21
0.0,137.09007,13.898038831165147,0.0,0.9423338413905804,00:24
0.0,138.20703,13.88577376225581,0.0,0.9357140006278819,00:27
0.0,139.38683,13.875391091377535,0.0,0.9277125039489293,00:30
0.0,140.5859,-3.423659311514868,0.0,0.9175493808179336,00:33
0.0,141.7589,-4.011161004477005,0.0,0.9047120441330128,00:36
0.0,142.86296,-4.55884137772855,0.0,0.8889118878279418,00:39
0.0,143.85918,-5.04726113597065,0.0,0.8700463544128891,00:42
0.0,144.7215,-5.464666570677142,0.0,0.8481648623727568,00:45
0.0,145.44194,-5.809228381579281,0.0,0.8234379109195176,00:48
0.0,146.01732,-6.080070066919767,0.0,0.7961291179065397,00:51
0.0,146.44525,-6.276264400101721,0.0,0.7665701295484423,00:54
0.0,146.73161,-6.401947940661733,0.0,0.7351383940466995,00:57
0.0,146.92813,-6.48898245764598,0.0,0.7022377830032239,01:00
0.0,147.15498,-6.606370302311456,0.0,0.6682820104455466,01:03
0.0,147.5477,-6.824131014424731,0.0,0.6336807578748799,01:06
0.0,148.2419,-7.210720109890746,0.0,0.5988283741111162,01:09
0.0,149.34624,-7.8182342965659775,0.0,0.5640949850014487,01:12
0.0,150.80754,-15.60003935298844,0.0,0.5298198218337082,01:15
0.0,152.32979,-16.37434098973706,0.0,0.4963065587778989,01:18
0.0,153.5629,-16.95473288601868,0.0,0.4638204384386926,01:21
0.0,154.15662,-17.162868605286494,0.0,0.43258695990061624,01:24
0.0,153.80801,-16.85426911947539,0.0,0.402791904625027,01:27
0.0,152.49908,-16.065036090303373,0.0,0.374582481320457,01:30
0.0,150.6393,-15.06376293712582,0.0,0.3480693805817195,01:33
0.0,148.73297,-7.1121219652573435,0.0,0.32332954284912346,01:36
0.0,147.28416,-6.454344148135114,0.0,0.30040945830956634,01:39
0.0,146.7392,-6.300264994681132,0.0,0.2793288340466713,01:42
0.0,147.1991,-6.658012252676485,0.0,0.2600844814232423,01:45
0.0,148.24701,-7.258594686176531,0.0,0.24265429479782785,01:48
0.0,149.35088,-7.820503536798096,0.0,0.22700121076639493,01:51
0.0,149.97841,-8.07291071702813,0.0,0.21307705478403052,01:54
0.0,149.64146,-7.775677004110927,0.0,0.20082619893595444,01:57
0.0,148.11763,-6.858279548522006,0.0,0.19018897053723435,02:00
0.25,145.58318,-5.470155084563677,0.0,0.18110473795457,02:03
0.25,142.30284,-3.7590986519193335,0.0,0.17351299003961415,02:06
0.25,138.54097,14.414507443968517,0.0,0.1673444270632414,02:09
0.0,134.56113,14.393723826227045,0.0,0.16250239971132607,02:12
0.0,130.62556,14.339749044778788,0.0,0.1588492505435396,02:15
0.0,126.99513,14.265515242741191,0.0,0.15620975817029234,02:18
0.0,123.92967,14.185232905237292,0.0,0.1543900964972972,02:21
0.0,121.68857,14.111149919019455,0.0,0.15319748978530784,02:24
0.0,120.52703,14.04910213984625,0.0,0.15245395843072057,02:27
0.0,120.4522,14.002958512950041,0.0,0.15200430961893568,02:30
0.0,121.07606,13.974573228110529,0.0,0.1517198920071362,02:33
0.0,122.18003,13.950816696421715,0.0,0.15149951147339355,02:36
0.0,123.54624,13.931911100606888,0.0,0.1512685350955108,02:39
0.0,124.95747,13.921543010389716,0.0,0.15097688913089843,02:42
0.0,126.1971,13.924492882452778,0.0,0.1505964293336265,02:45
0.0,127.049,13.944636320722427,0.0,0.15011801107708714,02:48
0.0,127.29752,13.983326198576899,0.0,0.14954848707680882,02:51
0.0,126.727356,14.037904647901204,0.0,0.14890779249985198,02:54
0.0,125.16836,14.097224530938746,0.0,0.148226228448089,02:57
0.0,122.71963,14.133010580286374,0.0,0.1475420179746493,03:00
0.0,119.88405,14.122201524428426,0.0,0.14689917994445187,03:03
0.0,117.254295,14.080730729570103,0.0,0.14634574302565928,03:06
0.0,115.42314,14.036514088026461,0.0,0.14593230371021726,03:09
0.0,114.91383,14.0071572520248,0.0,0.1457109177966539,03:12
0.0,115.832306,13.986135913087733,0.0,0.14573430373160104,03:15
0.0,117.65842,13.9599147614336,0.0,0.14605532819212602,03:18
0.0,119.7329,13.935058313063301,0.0,0.14672673892479737,03:21
0.0,121.396454,13.933694326544583,0.0,0.14780110677595215,03:24
0.0,122.05359,13.970444735376352,0.0,0.14933093769577038,03:27
0.0,121.49214,14.02536813296632,0.0,0.15136891593250804,03:30
0.0,120.074936,14.05787344513601,0.0,0.15396824132766915,03:33
0.0,118.29249,14.059856282717826,0.0,0.15718302627708514,03:36
0.0,116.63524,14.04218687102573,0.0,0.161068721264961,03:39
0.0,115.55466,14.020246613899419,0.0,0.1656825416687816,03:42
0.0,115.26871,14.004373837530046,0.0,0.1710838725661151,03:45
0.0,115.64514,13.994155674000469,0.0,0.17733463237764246,03:48
0.0,116.473854,13.984617539177853,0.0,0.1844995802130307,03:51
0.0,117.54463,13.975097899190782,0.0,0.1926465556372574,03:54
0.0,118.65436,13.968363191150857,0.0,0.20184664316146778,03:57
0.0,119.64281,13.966957061688376,0.0,0.2121742570246328,04:00
0.25,120.414116,13.97110874296119,0.0,0.22370711264440896,04:03
0.25,120.88664,13.980979737487747,0.0,0.23652408737812636,04:06
0.25,120.978455,13.996189174681742,0.0,0.2506902693560815,04:09
0.0,120.63401,14.014103692315157,0.0,0.2662258524890915,04:12
0.0,119.95945,14.026083903833069,0.0,0.28307558071490957,04:15
0.0,119.304,14.023369423857282,0.0,0.3010991961042444,04:18
0.0,119.07012,14.0078609929291,0.0,0.32008816353013314,04:21
0.0,119.659836,13.979695636691979,0.0,0.33979186933972916,04:24
0.0,121.42489,13.929827454702648,0.0,0.35994218571572145,04:27
0.0,124.41535,13.850336045083957,0.0,0.38027337682604057,04:30
0.0,128.22882,13.756806845423688,0.0,0.4005369880830485,04:33
0.0,132.36293,13.675687096285724,0.0,0.4205121789353177,04:36
0.0,136.31607,13.636183719496763,0.0,0.44001220071502944,04:39
0.0,139.58736,13.662623854082888,0.0,0.45888775527360876,04:42
0.0,141.67659,-4.069770627410703,0.0,0.4770279235804804,04:45
0.0,142.08412,-4.088605544746327,0.0,0.49435927483533226,04:48
0.0,140.31087,-2.9562049547473865,0.0,0.510843677498843,04:51
0.0,135.85812,14.460843267658444,0.0,0.5264752447404325,04:54
0.0,131.23894,14.413228353503733,0.0,0.5412767637769517,04:57
0.0,130.24554,14.079538664185074,0.0,0.5552958842143215,05:00
0.0,129.09048,14.088102708933153,0.0,0.5686012758549776,05:03
0.0,127.80144,14.092609633501308,0.0,0.5812789115093038,05:06
0.0,126.40615,14.093235539462514,0.0,0.5934285845805922,05:09
0.0,124.93248,14.090293901398319,0.0,0.6051607337257732,05:12
0.0,123.408325,14.084225878059724,0.0,0.6165936167703017,05:15
0.0,121.86162,14.075588209072453,0.0,0.6278508523127285,05:18
0.0,120.32026,14.065036903022484,0.0,0.6390593291838992,05:21
0.0,118.81213,14.05330495425303,0.0,0.6503474702890187,05:24
0.0,117.370316,14.041041482167675,0.0,0.6618438276054884,05:27
0.0,116.05924,14.028593310334616,0.0,0.6736759785625113,05:30
