timestep,reward
1,35.0597
2,43.83783
3,45.576885
4,46.122948
5,46.003605
6,45.628925
7,45.410885
8,45.777817
9,47.04311
10,49.05978
11,51.201424
12,52.945328
13,54.06636
14,54.62364
15,54.85472
16,54.97145
17,55.02016
18,54.835068
19,53.861042
20,50.9688
21,44.547997
22,32.64376
23,13.056274
24,-16.438398
25,-57.220127
26,-108.44526
27,-166.92302
28,-227.27917
29,-282.91467
30,-330.14258
31,-371.8811
32,-413.91843
33,-12.856811
34,-19.479963
35,-27.695545
36,-36.80746
37,-46.0148
38,-54.49301
39,-46.430294
40,-51.476665
41,-69.99596
42,-57.357117
43,-73.189255
44,-72.349205
45,-72.0
46,-72.0
47,-57.0
48,-57.0
49,-57.0
50,-57.0
51,-72.0
52,-72.0
53,-72.0
54,-72.0
55,-72.0
56,-57.0
57,-57.0
58,-72.0
59,-57.0
60,-57.0
61,-72.0
62,-72.0
63,-57.0
64,-72.0
65,-72.0
66,-72.0
67,-57.0
68,-72.0
69,-57.0
70,-72.0
71,-72.0
72,-57.0
73,-72.0
74,-72.0
75,-72.0
76,-57.0
77,30.059702
78,43.83823
79,45.580635
80,46.140903
81,46.06086
82,45.767735
83,45.687878
84,46.2518
85,47.747818
86,49.969383
87,52.21828
88,53.91089
89,54.80935
90,55.04102
91,54.930157
92,54.66906
93,54.217068
94,53.32264
95,51.43986
96,47.681034
97,40.970737
98,30.096376
99,13.754637
100,-9.289322
101,-39.491344
102,-75.47124
103,-114.13391
104,-150.95953
105,-180.92606
106,-201.93108
107,-217.40395
108,-232.76233
109,-254.13446
110,-287.93933
111,-337.81073
112,-401.48218
113,0.6281752
114,-6.615523
115,-27.757477
116,-32.45996
117,-35.954117
118,-38.510956
119,-25.374516
120,-41.7858
121,-42.980503
122,-29.189823
123,-30.643785
124,-32.575413
125,-31.555677
126,-27.228567
127,-30.566095
128,-51.851448
129,-45.455837
130,-55.55509
131,-61.38254
132,-57.813416
133,-57.0
134,-57.0
135,-57.0
136,-72.0
137,-57.0
138,-57.0
139,-57.0
140,-57.0
141,-72.0
142,-57.0
143,-72.0
144,-57.0
145,-72.0
146,-72.0
147,-72.0
148,-72.0
149,-57.0
150,-72.0
151,-72.0
152,-57.0
153,-72.0
154,-57.0
155,-57.0
156,-72.0
157,-57.0
158,-57.0
159,-57.0
160,-72.0
161,-72.0
162,-57.0
163,-57.0
164,-57.0
165,-57.0
166,-57.0
167,-57.0
168,-72.0
169,-72.0
170,-72.0
171,-57.0
172,-72.0
173,-57.0
174,-72.0
175,-72.0
176,-72.0
177,-57.0
178,-57.0
179,30.059702
180,43.838253
181,45.580463
182,46.137035
183,46.038303
184,45.68853
185,45.481968
186,45.820976
187,46.99784
188,48.869564
189,50.84407
190,52.443348
191,53.464302
192,53.933846
193,54.02103
194,53.940002
195,53.878414
196,54.028618
197,54.483257
198,54.98526
199,54.82583
200,52.97507
201,48.154617
202,38.944508
203,24.257034
204,4.240521
205,-19.462843
206,-43.807045
207,-65.00462
208,-81.12938
209,-94.3339
210,-108.48159
211,-128.25801
212,-158.98322
213,-204.27066
214,-263.12125
215,-332.0176
216,-405.341
217,0.49757975
218,-5.293473
219,-9.8951845
220,-13.554725
221,-16.49777
222,-33.947346
223,-36.12407
224,-23.247883
225,-25.541073
226,-28.231758
227,-27.991337
228,-24.358263
229,-28.066153
230,-34.727703
231,-58.67744
232,-54.078068
233,-60.884136
234,-58.57541
235,-72.0
236,-57.0
237,-57.0
238,-72.0
239,-72.0
240,-57.0
241,-57.0
242,-57.0
243,-57.0
244,-72.0
245,-57.0
246,-72.0
247,-72.0
248,-72.0
249,-57.0
250,-72.0
251,-57.0
252,-57.0
253,-72.0
254,-57.0
255,-57.0
256,-72.0
257,-72.0
258,-72.0
259,-57.0
260,-57.0
261,-72.0
262,-57.0
263,-72.0
264,-72.0
265,-57.0
266,-57.0
267,-57.0
268,-57.0
269,-72.0
270,-57.0
271,-57.0
272,-57.0
273,-57.0
274,-72.0
275,-57.0
276,-72.0
277,-72.0
278,-57.0
279,-57.0
280,30.059702
281,43.837807
282,45.57665
283,46.12058
284,45.990467
285,45.580513
286,45.278496
287,45.49198
288,46.53959
289,48.319935
290,50.270596
291,51.915737
292,53.024384
293,53.582775
294,53.748623
295,53.768547
296,53.85596
297,54.17959
298,54.727196
299,55.051304
300,54.208965
301,50.916225
302,43.622803
303,30.62961
304,10.647601
305,-16.161013
306,-47.903934
307,-81.03245
308,-111.059814
309,-135.56633
310,-156.86818
311,-179.35316
312,-208.4606
313,-250.3526
314,-308.92825
315,-382.39175
316,1.2199719
317,-7.2326965
318,-14.472664
319,-20.135002
320,-24.440882
321,-27.663153
322,-30.05245
323,-46.859978
324,-48.333824
325,-49.71827
326,-36.25633
327,-38.194477
328,-36.957653
329,-32.29663
330,-50.68299
331,-41.9171
332,-65.41643
333,-58.626797
334,-75.34196
335,-57.0
336,-57.0
337,-72.0
338,-72.0
339,-57.0
340,-57.0
341,-57.0
342,-57.0
343,-72.0
344,-57.0
345,-72.0
346,-57.0
347,-57.0
348,-72.0
349,-57.0
350,-72.0
351,-57.0
352,-72.0
353,-72.0
354,-57.0
355,-57.0
356,-57.0
357,-72.0
358,-72.0
359,-57.0
360,-57.0
361,-57.0
362,-57.0
363,-72.0
364,-57.0
365,-72.0
366,-72.0
367,-57.0
368,-72.0
369,-72.0
370,-57.0
371,-72.0
372,-72.0
373,-72.0
374,-72.0
375,-72.0
376,-72.0
377,-57.0
378,-72.0
379,-72.0
380,30.059702
381,43.83844
382,45.582226
383,46.14653
384,46.0758
385,45.807964
386,45.794365
387,46.496365
388,48.211994
389,50.688385
390,53.108643
391,54.70395
392,55.02989
393,54.056076
394,51.95563
395,48.53606
396,43.044357
397,34.11297
398,19.65053
399,-2.9085503
400,-35.92674
401,-81.485054
402,-146.30644
403,-221.45432
404,-311.04623
405,-410.6348
406,-23.283354
407,-12.088835
408,-33.652657
409,-23.031933
410,-26.183159
411,-29.089329
412,-47.665794
413,-52.723736
414,-44.40301
415,-51.876755
416,-58.457436
417,-59.947105
418,-72.0
419,-72.0
420,-72.0
421,-72.0
422,-72.0
423,-72.0
424,-57.0
425,-72.0
426,-57.0
427,-72.0
428,-72.0
429,-72.0
430,-57.0
431,-57.0
432,-72.0
433,-57.0
434,-57.0
435,-72.0
436,-57.0
437,-57.0
438,-72.0
439,-72.0
440,-57.0
441,-57.0
442,-57.0
443,-72.0
444,-72.0
445,-72.0
446,-72.0
447,-72.0
448,-72.0
449,-72.0
450,-72.0
451,-72.0
452,-72.0
453,-72.0
454,-72.0
455,-72.0
456,30.059702
457,43.837948
458,45.577785
459,46.125053
460,46.001877
461,45.601192
462,45.305336
463,45.514004
464,46.541588
465,48.291412
466,50.21027
467,51.828796
468,52.91778
469,53.459038
470,53.605522
471,53.612965
472,53.71443
473,54.09236
474,54.714233
475,55.050312
476,54.01225
477,50.125732
478,41.622383
479,26.5729
480,3.477525
481,-27.632912
482,-64.89093
483,-104.61509
484,-141.99677
485,-174.30443
486,-203.87238
487,-235.34027
488,-274.60724
