timestep,reward
1,-5.8436985
2,2.8376253
3,-3.9394891
4,-0.98360527
5,-7.9977303
6,-9.680044
7,-5.7323136
8,-5.8651843
9,-9.858237
10,-2.8243876
11,-0.28987065
12,-2.7497766
13,4.3515463
14,-190.42558
15,-176.08904
16,-170.48462
17,-172.94649
18,-163.28555
19,-134.60344
20,-74.16515
21,-19.914387
22,26.737862
23,52.79757
24,64.682945
25,60.11664
26,51.319046
27,37.28478
28,34.639187
29,28.502975
30,23.097126
31,12.091873
32,3.707779
33,-4.460382
34,-25.582462
35,-62.202484
36,-98.823616
37,-147.46017
38,-197.7513
39,0.88034445
40,-1.541388
41,-3.144951
42,-4.26402
43,-5.193626
44,-6.2189374
45,-7.6219416
46,-9.690257
47,-12.728411
48,-22.074295
49,-19.768826
50,-18.759314
51,-27.017628
52,-26.397442
53,-31.441648
54,-36.603725
55,-41.24722
56,-43.869606
57,-42.980656
58,-41.5
59,-41.028988
60,-37.390137
61,-30.761106
62,-27.039202
63,-25.062082
64,-25.423689
65,-27.94727
66,-31.304089
67,-34.31606
68,-35.763107
69,-34.637154
70,-31.33205
71,-27.58954
72,-24.380322
73,-22.31985
74,-21.945402
75,-23.203577
76,-30.263882
77,-27.456604
78,-29.128801
79,-29.700384
80,-29.231869
81,-33.525627
82,-28.148235
83,-28.543299
84,-30.07979
85,-32.64451
86,-40.49793
87,-38.00591
88,-39.56557
89,-39.689487
90,-38.571583
91,-37.117638
92,-35.89227
93,-35.28159
94,-35.666245
95,-37.478085
96,-46.259167
97,-43.978577
98,-41.821976
99,-46.5
100,-46.5
101,-41.5
102,-41.5
103,-46.5
104,-46.5
105,-41.5
106,-46.5
107,-41.5
108,-41.5
109,-41.5
110,-46.5
111,-46.5
112,-41.5
113,-46.5
114,-41.5
115,-41.5
116,-41.5
117,-41.5
118,-41.5
119,-41.5
120,-41.5
121,-41.5
122,-41.5
123,-46.5
124,-41.5
125,-41.5
126,-41.5
127,-46.5
128,-41.5
129,-41.5
130,-41.5
131,-46.5
132,-46.5
133,-41.5
134,-41.5
135,-41.5
136,-41.5
137,-41.5
138,-46.5
139,-41.5
140,-41.5
141,-46.5
142,-41.5
143,-41.5
144,-41.5
145,-41.5
146,-46.5
147,-41.5
148,-46.5
149,-41.5
150,-41.5
151,-41.5
152,-41.5
153,-41.5
154,-41.5
155,-41.5
156,-46.5
157,-46.5
158,-41.5
159,-41.5
160,-41.5
161,-41.5
162,-41.5
163,-41.5
164,-41.5
165,-41.5
166,-41.5
167,-46.5
168,-46.5
169,-41.5
170,-41.5
171,-41.5
172,-41.5
173,-41.5
174,-41.5
175,-41.5
176,-46.5
177,-41.5
178,-41.5
179,-41.5
180,-41.5
181,-41.5
182,-41.5
183,-46.5
184,-41.5
185,-41.5
186,-46.5
187,-41.5
188,-41.5
189,-41.5
190,-41.5
191,-46.5
192,-41.5
193,-41.5
194,-46.5
195,-41.5
196,-41.5
197,-39.24962
198,-32.193726
199,-34.806236
200,-47.96248
201,-41.5
202,-41.5
203,-41.5
204,-41.5
205,-46.05824
206,-5.843699
207,-2.1625187
208,1.0591216
209,-5.990058
210,-3.0172765
211,-4.724891
212,-10.817414
213,-6.0066805
214,-10.072447
215,-3.1269956
216,-0.69558537
217,-3.272044
218,3.6998906
219,4.8430524
220,-203.48224
221,4.8963056
222,-0.32931334
223,4.887484
224,-176.77307
225,-117.37819
226,-55.253716
227,1.8230426
228,34.113758
229,61.216915
230,64.700264
231,61.742664
232,51.635807
233,46.379753
234,46.50497
235,41.628426
236,35.74939
237,22.295946
238,13.8986635
239,-12.831699
240,-41.049583
241,-86.08765
242,-140.52159
243,-199.11414
244,-0.2885075
245,-8.570178
246,-6.010217
247,-7.934737
248,-9.637712
249,-11.407943
250,-13.534359
251,-21.314993
252,-25.070663
253,-25.167896
254,-28.374142
255,-27.48575
256,-36.481087
257,-41.580345
258,-42.332653
259,-45.019844
260,-41.929012
261,-41.5
262,-41.5
263,-41.5
264,-41.5
265,-41.5
266,-41.5
267,-45.68128
268,-43.123447
269,-37.350845
270,-40.82749
271,-48.10192
272,-41.816284
273,-46.5
274,-46.5
275,-41.5
276,-41.5
277,-44.64689
278,-35.87112
279,-36.15861
280,-38.331543
281,-41.206486
282,-42.94079
