timestep,reward
1,-162.32877
2,-141.14368
3,-136.85175
4,-123.65074
5,-121.54103
6,-110.85905
7,-107.04955
8,-110.5855
9,-111.91756
10,-116.221115
11,-118.21112
12,-132.4987
13,-138.68987
14,-151.14914
15,-162.71376
16,-168.79086
17,-164.33539
18,-145.18098
19,-114.83448
20,-62.94596
21,-14.865133
22,25.148558
23,51.611214
24,63.484
25,63.457172
26,55.254208
27,41.86204
28,25.463297
29,2.5411339
30,-16.025108
31,-29.87984
32,-54.123505
33,-69.26197
34,-91.15513
35,-115.92041
36,-144.86928
37,-179.63167
38,2.5810013
39,-1.793563
40,-11.744921
41,-12.097256
42,-17.662088
43,-23.249523
44,-28.65505
45,-33.656017
46,-38.01048
47,-41.462036
48,-43.358414
49,-42.81961
50,-41.5
51,-41.5
52,-41.5
53,-41.5
54,-41.5
55,-41.5
56,-41.5
57,-41.5
58,-41.5
59,-40.173508
60,-38.170296
61,-40.305386
62,-42.288616
63,-42.07685
64,-41.5
65,-41.5
66,-41.5
67,-41.5
68,-41.5
69,-41.5
70,-41.5
71,-41.5
72,-41.5
73,-41.5
74,-41.5
75,-41.5
76,-41.5
77,-41.5
78,-41.5
79,-41.5
80,-41.5
81,-46.5
82,-41.5
83,-41.5
84,-41.5
85,-41.5
86,-41.5
87,-41.5
88,-41.5
89,-41.5
90,-41.5
91,-41.5
92,-41.5
93,-41.5
94,-46.5
95,-46.5
96,-41.5
97,-46.2981
98,-42.35852
99,-33.331505
100,-44.868916
101,-42.907463
102,-42.830456
103,-41.5
104,-41.5
105,-41.5
106,-46.5
107,-41.5
108,-41.5
109,-46.5
110,-46.5
111,-41.5
112,-41.5
113,-41.5
114,-41.5
115,-46.5
116,-46.5
117,-46.5
118,-41.5
119,-41.5
120,-41.5
121,-41.5
122,-41.5
123,-46.5
124,-41.5
125,-46.5
126,-41.5
127,-41.5
128,-41.5
129,-41.5
130,-46.5
131,-46.5
132,-41.5
133,-41.5
134,-46.5
135,-41.5
136,-41.5
137,-41.5
138,-41.5
139,-46.5
140,-41.5
141,-41.5
142,-41.5
143,-41.5
144,-41.5
145,-41.5
146,-41.5
147,-46.5
148,-162.32889
149,-141.14778
150,-136.8907
151,-123.83919
152,-117.1489
153,-117.385735
154,-110.294754
155,-111.718994
156,-117.553986
157,-128.51514
158,-149.97874
159,-167.35866
160,-201.18149
161,4.1252317
162,3.0585608
163,2.0819147
164,1.3580539
165,-3.955564
166,1.2707798
167,2.0338235
168,-1.842444
169,4.4621687
170,-189.57178
171,-144.04684
172,-112.93186
173,-89.24314
174,-70.81304
175,-55.961727
176,-43.376972
177,-32.02641
178,-21.103888
179,-10.009872
180,1.6429131
181,8.989971
182,26.82757
183,34.554356
184,51.176964
185,60.231476
186,59.65934
187,56.87508
188,44.518223
189,26.156427
190,-8.520955
191,-53.651688
192,-107.212845
193,-166.08836
194,1.8490704
195,-7.463549
196,-16.055729
197,-32.247833
198,-39.168713
199,-41.18869
200,-34.792904
201,-36.50368
202,-32.499577
203,-23.550406
204,-20.198217
205,-17.959522
206,-17.353857
207,-23.547367
208,-26.21771
209,-25.156485
210,-35.183018
211,-36.067207
212,-42.40695
213,-45.324913
214,-47.05147
215,-46.5
216,-41.5
217,-46.5
218,-46.5
219,-46.5
220,-46.5
221,-41.5
222,-41.5
223,-46.5
224,-46.5
225,-41.5
226,-41.5
227,-41.5
228,-46.5
229,-41.5
230,-41.5
231,-41.5
232,-41.5
233,-46.5
234,-41.5
235,-41.5
236,-41.5
237,-46.5
238,-41.5
239,-46.5
240,-41.5
241,-46.5
242,-46.5
243,-41.5
244,-41.5
245,-41.5
246,-41.5
247,-41.5
248,-41.5
249,-46.5
250,-41.5
251,-41.5
252,-41.5
253,-41.5
254,-41.5
255,-46.5
256,-46.5
257,-46.5
258,-46.5
259,-46.5
260,-41.5
261,-41.5
262,-41.5
263,-162.32889
264,-141.14778
265,-131.89084
266,-123.840675
267,-117.16
268,-112.43319
269,-110.440895
270,-112.083755
271,-118.34544
272,-130.06403
273,-147.77504
274,-177.09227
275,-208.8013
276,-1.2027692
277,-2.3998258
278,1.4621152
279,0.5459975
280,0.013307751
281,0.0011146112
282,0.51392174
283,1.3810478
284,2.4270198
285,3.4874532
286,-0.58708
287,-209.48474
288,-183.89352
289,-173.7086
290,-157.2071
291,-147.90363
292,-139.46661
293,-130.68236
294,-120.4681
295,-107.90858
296,-92.33047
297,-73.447914
298,-56.46841
299,-27.058468
300,-1.4026252
301,23.612299
302,40.100864
303,59.690456
304,64.71539
305,53.61757
306,36.081818
307,13.080954
308,-23.174433
309,-64.38229
310,-106.38021
311,-192.00829
312,-20.687399
313,-23.465033
314,-21.693363
315,-21.602211
316,-19.432646
317,-16.21965
318,-17.747942
319,-9.6482
320,-12.519369
321,-11.93303
322,-8.104767
323,-15.754462
324,-14.656697
325,-19.607803
326,-30.36292
327,-36.527657
328,-37.480377
329,-47.518898
330,-44.43178
331,-42.273785
332,-41.5
333,-46.5
334,-41.5
335,-41.5
336,-41.5
337,-46.5
338,-46.5
339,-41.5
340,-41.5
341,-41.5
342,-41.5
343,-46.5
344,-41.5
345,-41.5
346,-41.5
347,-41.5
348,-46.5
349,-41.5
350,-41.5
351,-46.5
352,-41.5
353,-41.5
354,-41.5
355,-41.5
356,-46.5
357,-46.5
358,-46.5
359,-41.5
360,-41.5
361,-41.5
362,-46.5
363,-46.5
364,-41.5
365,-41.5
366,-41.5
367,-41.5
368,-41.5
369,-41.5
370,-41.5
371,-41.5
372,-41.5
373,-41.5
374,-41.5
375,-41.5
376,-41.5
377,-41.5
378,-41.5
379,-41.5
380,-41.5
381,-46.5
382,-46.5
383,-41.5
384,-46.5
385,-41.5
386,-41.5
387,-41.5
388,-41.5
389,-41.5
390,-41.5
391,-41.5
392,-46.5
393,-41.5
394,-41.5
395,-41.5
396,-167.32889
397,-141.14537
398,-131.86775
399,-128.73079
400,-116.81598
401,-111.60154
402,-108.73517
403,-108.952515
404,-113.027336
405,-126.53248
406,-134.68153
407,-152.70427
408,-180.93347
409,-204.50548
410,4.005029
411,3.2096786
412,2.6624963
413,2.5106552
414,-2.1256099
415,3.743896
416,-0.059753086
417,-167.22757
418,-124.540405
419,-95.37177
420,-65.65832
421,-48.30279
422,-36.19315
423,-27.720648
424,-21.62358
425,-16.86955
426,-12.578343
427,-7.98577
428,-2.442175
429,4.5474906
430,13.221326
431,23.47207
432,34.834263
433,46.399334
434,56.662643
435,63.414284
436,64.27776
437,57.546474
438,42.476685
439,19.391806
440,-10.307312
441,-44.223248
442,-79.13101
443,-111.23471
444,-178.30405
445,-13.035472
446,-14.23277
447,-16.032345
448,-14.701315
449,-11.421855
450,-7.1277785
451,-2.5243368
452,1.7938598
453,5.235495
454,-187.11365
455,-178.1252
456,-186.82106
457,-1.0576109
458,0.52025616
459,-3.6592407
460,-8.219777
461,-12.618932
462,-16.281807
463,-18.632061
464,-19.220427
465,-18.210371
466,-16.450104
467,-14.598103
468,-13.174818
469,-12.611466
470,-12.941861
471,-13.706306
472,-14.517882
473,-15.022809
474,-14.915222
475,-14.189981
476,-13.19989
477,-12.225577
478,-11.502373
479,-11.231869
480,-11.430683
481,-11.883976
482,-17.407574
483,-12.834865
484,-13.006745
485,-12.816696
486,-12.224234
487,-11.183554
488,-9.645732
489,-7.5641155
490,-4.893465
491,-1.5889279
492,2.395257
493,-196.32657
494,-161.30444
495,-178.53839
496,3.8641238
497,-5.02569
498,-4.439513
499,-9.018569
500,-13.383128
501,-17.136318
502,-19.874527
503,-21.20992
504,-20.88713
505,-19.187635
506,-16.948565
507,-14.795311
508,-13.231816
509,-17.700249
510,-13.315869
511,-14.779383
512,-16.860254
513,-19.352709
514,-22.021849
515,-24.551998
516,-26.530466
517,-27.554255
518,-27.256927
519,-25.425032
520,-22.403666
521,-19.048164
522,-20.919119
523,-13.459466
524,-12.047027
525,-11.594864
526,-11.423643
527,-15.948984
528,-9.63237
529,-7.055761
530,-3.3919215
531,0.5512677
532,4.1356187
533,-194.13513
534,-175.63063
535,-175.95886
536,-191.70848
537,3.1697788
538,0.110114425
539,-2.9892313
540,-5.6832867
541,-7.5214887
542,-8.0686
543,-6.932146
544,-5.7520103
545,-4.477323
546,2.616973
547,-160.08234
548,-60.261536
549,13.392676
550,52.126144
551,60.500546
552,58.11646
553,52.58351
554,58.39555
555,59.5876
556,39.835506
557,-25.510054
558,-135.62119
559,-7.595517
560,-16.10664
561,-16.56824
562,-19.603046
563,-20.817324
564,-20.795889
565,-20.017866
566,-18.838827
567,-17.579906
568,-16.542706
569,-15.99041
570,-16.017519
571,-16.518347
572,-17.432337
573,-18.719284
574,-20.339556
575,-22.269728
576,-24.508371
577,-27.051096
578,-29.89226
579,-33.01972
580,-36.375195
581,-39.83759
582,-42.98424
583,-43.60103
584,-41.5
585,-41.5
586,-41.5
587,-41.5
588,-41.5
589,-41.5
590,-41.5
591,-41.5
592,-41.5
593,-41.5
594,-41.5
595,-41.5
596,-41.5
597,-41.5
598,-41.5
599,-41.5
600,-41.5
601,-41.5
602,-41.5
603,-41.5
604,-38.085182
605,-29.623753
606,-24.303322
607,-19.791018
608,-16.105787
609,-13.570469
610,-17.053915
611,-10.832452
612,-14.285154
613,-6.8185787
614,-2.9585757
615,2.152916
616,-192.45091
617,-130.32616
618,-82.00806
619,-49.892487
620,-32.018745
621,-23.527863
622,-20.499514
623,-19.886963
624,-19.141655
625,-17.273954
626,-15.532237
627,-15.552612
628,-18.987768
629,-27.489046
630,-41.459297
631,-58.62133
632,-75.264404
633,-86.70738
634,-88.32507
635,-78.87952
636,-62.122566
637,-42.489506
638,-23.497566
639,-7.7421103
640,3.0172937
641,7.4507527
642,-1.177893
643,-11.364004
644,-17.12264
645,14.098065
646,37.756313
647,53.877296
648,62.644066
649,65.26193
650,63.696377
651,55.31201
652,57.429054
653,51.80555
654,58.98443
655,62.570156
656,64.772415
657,63.365467
658,57.975693
659,50.36943
660,43.60388
661,40.587162
662,43.213818
663,51.343845
664,61.35068
665,60.229706
666,49.153885
667,19.269184
668,-25.573286
669,-69.50403
670,-112.95513
671,-152.50055
672,-196.54808
673,3.3349743
674,-4.100358
675,-7.3067
676,-10.942196
677,-19.614138
678,-17.953157
679,-20.6483
680,-17.646725
681,-19.226341
682,-20.657305
683,-22.18443
684,-24.021736
685,-26.211952
686,-28.573969
687,-30.938545
688,-33.154434
689,-35.072647
690,-36.546635
691,-37.432106
692,-37.586964
693,-36.871323
694,-34.768806
695,-41.58155
696,-29.27604
697,-27.220636
698,-25.395592
699,-23.781435
700,-22.359343
701,-21.111305
702,-20.020031
703,-19.068176
704,-18.240263
705,-22.53671
706,-16.977678
707,-16.575714
708,-21.335205
709,-16.249344
710,-16.272964
711,-16.313639
712,-21.281277
713,-16.090582
714,-15.662714
715,-14.946215
716,-13.924891
717,-12.583603
718,-15.9081955
719,-13.902675
720,-6.6554008
721,-4.358175
722,-2.1943128
723,-0.33767843
724,1.0608467
725,1.9815637
726,2.5801685
727,3.0172884
728,-1.5522667
729,4.013962
730,4.7795467
731,-184.99892
732,-150.78847
733,-116.94899
734,-85.23806
735,-56.69585
736,-31.66317
737,-10.221564
738,7.6915145
739,22.263294
740,33.779922
741,42.598743
742,49.118343
743,53.747894
744,52.31558
745,36.794067
746,42.593025
747,52.050037
748,61.969463
749,64.24488
750,49.44129
751,33.609516
752,8.3260765
753,-11.048339
754,-14.798245
755,-2.7456448
756,13.987438
757,25.430273
758,25.399164
759,5.9157305
760,-51.978725
761,-149.27167
762,-14.530258
763,-21.238739
764,-29.528223
765,-33.431442
766,-29.50923
