selected_model,raw_action,dose,blood glucose,reward,meal,risk,time,phase_type,phase_progress,phase_intensity,shaped_bonus,bg_slope
innermodel,30.0,0.0,100.16577,14.18311800267806,0.0,0.17606823428064183,02:03,0,0.0,0.0,0.0,2.0693588256835938
innermodel,30.0,0.0,102.46581,14.164998710279985,0.0,0.20945732814872825,02:06,0,0.0,0.0,0.0,2.3000411987304688
innermodel,30.0,0.0,104.694855,14.123523179859266,0.0,0.24313042107842298,02:09,0,0.0,0.0,0.0,2.2290420532226562
innermodel,30.0,0.0,106.551025,14.077102608222354,0.0,0.27647372890196775,02:12,0,0.0,0.0,0.0,1.856170654296875
innermodel,30.0,0.0,107.73227,14.037453356190603,0.0,0.3089176319233939,02:15,0,0.0,0.0,0.0,1.181243896484375
innermodel,30.0,0.0,107.93637,14.00558282756983,0.0,0.33994192204072965,02:18,0,0.0,0.0,0.0,0.2041015625
innermodel,30.0,0.0,106.861,13.967649097845197,0.0,0.3690797836811202,02:21,0,0.0,0.0,0.0,-1.0753707885742188
innermodel,30.0,0.0,104.203674,13.88795564154211,0.0,0.39592058710363254,02:24,0,0.0,0.0,0.0,-2.6573257446289062
innermodel,30.0,0.0,104.93465,14.035503812073955,0.0,0.4201115854212933,02:27,0,0.0,0.0,0.0,0.7309722900390625
innermodel,30.0,0.0,113.56425,14.16587178165183,0.0,0.4413586154793361,02:30,0,0.0,0.0,0.0,8.629600524902344
innermodel,30.0,0.0,118.64904,13.905101103859788,0.0,0.45942590793849164,02:33,0,0.0,0.0,0.0,5.0847930908203125
innermodel,30.0,0.0,120.85958,13.91999613246125,0.0,0.4741351140166099,02:36,0,0.0,0.0,0.0,2.210540771484375
innermodel,30.0,0.0,120.86637,13.999720192872791,0.0,0.48536365581004726,02:39,0,0.0,0.0,0.0,0.0067901611328125
innermodel,30.0,0.0,119.33988,14.05768135182665,0.0,0.49304250440864333,02:42,0,0.0,0.0,0.0,-1.5264892578125
innermodel,30.0,0.0,116.950554,14.068581601613591,0.0,0.49715348557565475,02:45,0,0.0,0.0,0.0,-2.3893280029296875
innermodel,30.0,0.0,114.36879,14.042645404398314,0.0,0.497726206991774,02:48,0,0.0,0.0,0.0,-2.5817642211914062
innermodel,30.0,0.0,112.265,14.009078238868621,0.0,0.4948346943305682,02:51,0,0.0,0.0,0.0,-2.103790283203125
innermodel,30.0,0.0,111.30956,13.996130555604777,0.0,0.48859381606580177,02:54,0,0.0,0.0,0.0,-0.9554367065429688
innermodel,30.0,0.0,112.07744,14.003511550268303,0.0,0.47915556919079255,02:57,0,0.0,0.0,0.0,0.7678756713867188
innermodel,30.0,0.0,114.570984,13.989167943829802,0.0,0.4667052901929413,03:00,0,0.0,0.0,0.0,2.4935455322265625
innermodel,30.0,0.0,117.93372,13.934532959531012,0.0,0.45145784786721355,03:03,0,0.0,0.0,0.0,3.3627395629882812
innermodel,30.0,0.0,121.11829,13.888147492855598,0.0,0.4336538670244658,03:06,0,0.0,0.0,0.0,3.1845703125
innermodel,30.0,0.0,123.07737,13.90876497574537,0.0,0.4135560249731624,03:09,0,0.0,0.0,0.0,1.959075927734375
innermodel,30.0,0.0,122.88089,14.009889714337962,0.0,0.39144545591098956,03:12,0,0.0,0.0,0.0,-0.19647979736328125
innermodel,30.0,0.0,120.30248,14.114399759887919,0.0,0.3676182921151167,03:15,0,0.0,0.0,0.0,-2.5784072875976562
innermodel,30.0,0.0,116.17132,14.120139010447627,0.0,0.3423823651000709,03:18,0,0.0,0.0,0.0,-4.13116455078125
innermodel,30.0,0.0,111.55113,14.032908157569164,0.0,0.31605408473571395,03:21,0,0.0,0.0,0.0,-4.620185852050781
innermodel,30.0,0.0,107.50566,13.930538213668681,0.0,0.28895550968312694,03:24,0,0.0,0.0,0.0,-4.04547119140625
innermodel,30.0,0.0,105.00316,13.906336557882831,0.0,0.26141161840091237,03:27,0,0.0,0.0,0.0,-2.50250244140625
innermodel,30.0,0.0,104.4389,13.973175142648198,0.0,0.23374778637524107,03:30,0,0.0,0.0,0.0,-0.5642547607421875
innermodel,30.0,0.0,105.348656,14.042192825881246,0.0,0.20628747210612833,03:33,0,0.0,0.0,0.0,0.9097518920898438
innermodel,30.0,0.0,107.0772,14.065119581615328,0.0,0.17935011170560827,03:36,0,0.0,0.0,0.0,1.728546142578125
innermodel,30.0,0.0,108.96933,14.049585550367103,0.0,0.15324921969591881,03:39,0,0.0,0.0,0.0,1.8921279907226562
innermodel,30.0,0.0,110.416176,14.023297464350264,0.0,0.12829069170036708,03:42,0,0.0,0.0,0.0,1.4468460083007812
innermodel,30.0,0.0,111.08679,14.006652392053045,0.0,0.10477130315978339,03:45,0,0.0,0.0,0.0,0.6706161499023438
innermodel,30.0,0.0,111.06709,13.999841353278931,0.0,0.08297739694823719,03:48,0,0.0,0.0,0.0,-0.0196990966796875
innermodel,30.0,0.0,110.53566,13.994881116709806,0.0,0.06318375176847851,03:51,0,0.0,0.0,0.0,-0.53143310546875
innermodel,30.0,0.0,109.67108,13.988173223782994,0.0,0.045652622449485813,03:54,0,0.0,0.0,0.0,-0.8645782470703125
innermodel,30.0,0.0,108.64924,13.98031284054363,0.0,0.030632942715159064,03:57,0,0.0,0.0,0.0,-1.0218429565429688
innermodel,30.0,0.0,107.62981,13.97403410975523,0.0,0.018359680618298787,04:00,0,0.0,0.0,0.0,-1.0194320678710938
innermodel,30.0,0.0,106.7481,13.97231170083914,0.0,0.00905333661267563,04:03,0,0.0,0.0,0.0,-0.8817062377929688
innermodel,30.0,0.0,106.134026,13.97778457843754,0.0,0.0029195741459385974,04:06,0,0.0,0.0,0.0,-0.61407470703125
innermodel,30.0,0.0,105.91752,13.991584342388476,0.0,0.00014897267796975036,04:09,0,0.0,0.0,0.0,-0.2165069580078125
innermodel,30.0,0.0,106.21401,14.011447342186559,0.0,0.0009168931448277969,04:12,0,0.0,0.0,0.0,0.2964935302734375
innermodel,30.0,0.0,107.05198,14.029282183441813,0.0,0.005383446082503451,04:15,0,0.0,0.0,0.0,0.8379669189453125
innermodel,30.0,0.0,108.32942,14.036097895052066,0.0,0.013693552883154304,04:18,0,0.0,0.0,0.0,1.2774429321289062
innermodel,30.0,0.0,109.91536,14.030930356779965,0.0,0.0259770909673678,04:21,0,0.0,0.0,0.0,1.5859375
innermodel,30.0,0.0,111.67884,14.017061069502176,0.0,0.04234911400862711,04:24,0,0.0,0.0,0.0,1.7634811401367188
innermodel,30.0,0.0,113.49761,13.999329680444697,0.0,0.06291013873115199,04:27,0,0.0,0.0,0.0,1.8187713623046875
innermodel,30.0,0.0,115.301765,13.981851194327866,0.0,0.08774649021174294,04:30,0,0.0,0.0,0.0,1.8041534423828125
innermodel,30.0,0.0,117.09984,13.965379211495323,0.0,0.11693069804292487,04:33,0,0.0,0.0,0.0,1.7980728149414062
innermodel,30.0,0.0,118.91782,13.948974761899233,0.0,0.15052193615258547,04:36,0,0.0,0.0,0.0,1.8179855346679688
innermodel,30.0,0.0,120.78174,13.931718700223882,0.0,0.18856649951921514,04:39,0,0.0,0.0,0.0,1.8639144897460938
innermodel,30.0,0.0,122.71758,13.912755490246688,0.0,0.23109831146698312,04:42,0,0.0,0.0,0.0,1.9358444213867188
innermodel,30.0,0.0,124.751396,13.891265151889868,0.0,0.2781394556677973,04:45,0,0.0,0.0,0.0,2.0338134765625
innermodel,30.0,0.0,126.90921,13.86644403845808,0.0,0.3297007274142195,04:48,0,0.0,0.0,0.0,2.1578140258789062
innermodel,30.0,0.0,129.21709,13.837493594703085,0.0,0.38578219915562395,04:51,0,0.0,0.0,0.0,2.3078765869140625
innermodel,30.0,0.0,131.70107,13.803616456390607,0.0,0.44637379570712404,04:54,0,0.0,0.0,0.0,2.483978271484375
highmodel,30.0,1.2925266027450562,133.00014,13.888849362935735,0.0,0.511455613540278,04:57,0,0.0,0.0,0.0,1.299072265625
highmodel,30.0,0.0,131.88344,14.095889377871519,0.0,0.5809813457763797,05:00,0,0.0,0.0,0.0,-1.11669921875
highmodel,30.0,0.0,131.38478,14.041460695984979,0.0,0.6547663303028806,05:03,0,0.0,0.0,0.0,-0.4986572265625
highmodel,30.0,0.0,131.44861,13.99473984238922,0.0,0.7323338996833799,05:06,0,0.0,0.0,0.0,0.0638275146484375
highmodel,30.0,0.0,132.01628,13.952612349213059,0.0,0.8128888364289903,05:09,0,0.0,0.0,0.0,0.5676727294921875
highmodel,30.0,0.0,133.02704,13.912936739179568,0.0,0.8953844461369853,05:12,0,0.0,0.0,0.0,1.0107574462890625
