selected_model,raw_action,dose,blood glucose,reward,meal,risk,time,phase_type,phase_progress,phase_intensity,shaped_bonus,bg_slope
highmodel,30.0,0.0,149.5897,-8.18995446735792,0.0,0.7952086553051352,04:42,0,0.0,0.0,0.0,3.0462493896484375
highmodel,30.0,0.0,152.75612,-16.81095710170969,0.0,0.8669029686789365,04:45,0,0.0,0.0,0.0,3.166412353515625
highmodel,30.0,0.0,156.11845,-18.542005550744918,0.0,0.938404854604643,04:48,0,0.0,0.0,0.0,3.362335205078125
highmodel,30.0,0.0,159.75337,-20.423449739801335,0.0,1.008633779196261,04:51,0,0.0,0.0,0.0,3.634918212890625
highmodel,30.0,0.0,163.73885,-37.49631818312486,0.0,1.0765735321310606,04:54,0,0.0,0.0,0.0,3.9854736328125
highmodel,30.0,1.0021424293518066,163.76085,-36.88396114075363,0.0,1.1413126235882178,04:57,0,0.0,0.0,0.0,0.022003173828125
highmodel,30.0,0.0,156.75584,-17.29479042595051,0.0,1.2020526966256582,05:00,0,0.0,0.0,0.0,-7.0050048828125
highmodel,30.0,0.0,153.81306,-16.47896657218915,0.0,1.2580109160970445,05:03,0,0.0,0.0,0.0,-2.942779541015625
highmodel,30.0,0.0,154.18129,-17.143193012680676,0.0,1.3082964501989813,05:06,0,0.0,0.0,0.0,0.36822509765625
highmodel,30.0,0.0,157.1081,-18.981385888677444,0.0,1.351930426668064,05:09,0,0.0,0.0,0.0,2.9268035888671875
highmodel,30.0,0.0,161.84065,-36.645595088697505,0.0,1.3879447924481938,05:12,0,0.0,0.0,0.0,4.7325592041015625
highmodel,30.0,0.0,167.62662,-43.75226584461182,0.0,1.4154817818704801,05:15,0,0.0,0.0,0.0,5.7859649658203125
highmodel,30.0,0.0,173.7148,-46.900541935436955,0.0,1.4338690577975735,05:18,0,0.0,0.0,0.0,6.0881805419921875
highmodel,30.0,0.0,179.35553,-49.68882408530132,0.0,1.4426660376490843,05:21,0,0.0,0.0,0.0,5.6407318115234375
highmodel,30.0,0.0,183.80086,-47.72417871419567,0.0,1.4416841723293763,05:24,0,0.0,0.0,0.0,4.4453277587890625
highmodel,30.0,0.784405529499054,186.37907,-45.677258296095594,0.0,1.4309860984646847,05:27,0,0.0,0.0,0.0,2.578216552734375
highmodel,30.0,0.0,186.86728,-48.526774520121606,0.0,1.4108549416331821,05:30,0,0.0,0.0,0.0,0.4882049560546875
highmodel,30.0,0.0,185.7143,-47.637588792367644,0.0,1.3816826919677854,05:33,0,0.0,0.0,0.0,-1.152984619140625
highmodel,30.0,0.0,183.5177,-46.344421809565624,0.0,1.3438569592081862,05:36,0,0.0,0.0,0.0,-2.19659423828125
highmodel,30.0,0.0,180.87433,-44.945451036030605,0.0,1.297772946882808,05:39,0,0.0,0.0,0.0,-2.64337158203125
highmodel,30.0,0.0,178.3361,-43.70348181207441,0.0,1.2438995809875868,05:42,0,0.0,0.0,0.0,-2.5382232666015625
highmodel,30.0,0.0,176.18695,-42.70623128399451,0.0,1.1828339728487958,05:45,0,0.0,0.0,0.0,-2.1491546630859375
highmodel,30.0,0.0,174.30905,-41.82096420043854,0.0,1.1153288341745888,05:48,0,0.0,0.0,0.0,-1.877899169921875
highmodel,30.0,0.0,172.49615,-40.930493904878176,0.0,1.0422944849546258,05:51,0,0.0,0.0,0.0,-1.812896728515625
highmodel,30.0,0.0,170.54309,-39.934476270880985,0.0,0.9647816643869147,05:54,0,0.0,0.0,0.0,-1.95306396484375
highmodel,30.0,0.0,168.25539,-38.73984621676392,0.0,0.883951784786991,05:57,0,0.0,0.0,0.0,-2.2877044677734375
highmodel,30.0,0.0,165.49753,-22.29172735213258,0.0,0.8010403051240528,06:00,0,0.0,0.0,0.0,-2.7578582763671875
highmodel,30.0,0.0,162.22186,-20.583937480585075,0.0,0.717317605856989,06:03,0,0.0,0.0,0.0,-3.275665283203125
highmodel,30.0,0.0,158.40063,-18.60889729630067,0.0,0.6340505292621132,06:06,0,0.0,0.0,0.0,-3.82122802734375
highmodel,30.0,0.0,154.00641,-16.356865864441644,0.0,0.5524667407127206,06:09,0,0.0,0.0,0.0,-4.39422607421875
highmodel,30.0,0.0,149.03583,-13.834742720593729,0.0,0.4737232813967225,06:12,0,0.0,0.0,0.0,-4.9705810546875
highmodel,30.0,0.0,143.62936,-11.136049447794287,0.0,0.3988800936813339,06:15,0,0.0,0.0,0.0,-5.406463623046875
highmodel,30.0,0.0,138.14305,7.611331362375683,0.0,0.32887886795865234,06:18,0,0.0,0.0,0.0,-5.4863128662109375
highmodel,30.0,0.0,132.98062,7.494846209599122,0.0,0.26452724787770043,06:21,0,0.0,0.0,0.0,-5.1624298095703125
highmodel,30.0,0.0,128.54552,7.355143591484857,0.0,0.2064882095040842,06:24,0,0.0,0.0,0.0,-4.4351043701171875
innermodel,30.0,0.0,125.195625,7.220746599599226,0.0,0.15527427623887774,06:27,0,0.0,0.0,0.0,-3.3498916625976562
innermodel,30.0,0.0,123.0175,7.119774661316836,0.0,0.11124612833335572,06:30,0,0.0,0.0,0.0,-2.1781234741210938
innermodel,30.0,0.0,121.69085,7.063252299773451,0.0,0.07461510122290929,06:33,0,0.0,0.0,0.0,-1.3266525268554688
innermodel,30.0,0.0,120.80457,7.038013388510165,0.0,0.045449031704356144,06:36,0,0.0,0.0,0.0,-0.8862762451171875
innermodel,30.0,0.0,119.94713,7.033459727763229,0.0,0.023680898583583687,06:39,0,0.0,0.0,0.0,-0.8574447631835938
innermodel,30.0,0.0,118.74037,7.041425059015311,0.0,0.009119709830072924,06:42,0,0.0,0.0,0.0,-1.206756591796875
innermodel,30.0,0.0,117.00926,7.047482509112872,0.0,0.0014631075866265606,06:45,0,0.0,0.0,0.0,-1.731109619140625
innermodel,30.0,0.0,114.88362,7.038207725905865,0.0,0.0003111924322301259,06:48,0,0.0,0.0,0.0,-2.125640869140625
innermodel,30.0,0.0,112.56067,7.015043321883353,0.0,0.005181106430573975,06:51,0,0.0,0.0,0.0,-2.3229522705078125
innermodel,30.0,0.0,110.237206,6.985453137611259,0.0,0.015521958435741627,06:54,0,0.0,0.0,0.0,-2.3234634399414062
innermodel,30.0,0.0,108.0977,6.958822623513959,0.0,0.03072972287778969,06:57,0,0.0,0.0,0.0,-2.1395034790039062
innermodel,30.0,0.0,106.254585,6.941936630838591,0.0,0.05016179306686728,07:00,0,0.0,0.0,0.0,-1.8431167602539062
innermodel,30.0,0.0,104.7124,6.9345307652278905,0.0,0.07315092040898628,07:03,0,0.0,0.0,0.0,-1.5421829223632812
innermodel,30.0,0.0,103.45153,6.9345469996507445,0.0,0.09901832050533028,07:06,0,0.0,0.0,0.0,-1.2608718872070312
innermodel,30.0,0.0,102.45203,6.940220664784955,0.0,0.12708577480289618,07:09,0,0.0,0.0,0.0,-0.9995040893554688
innermodel,30.0,0.0,101.69372,6.949856197336609,0.0,0.1566866013741406,07:12,0,0.0,0.0,0.0,-0.7583084106445312
innermodel,30.0,0.0,101.15618,6.96189783333327,0.0,0.18717540982285835,07:15,0,0.0,0.0,0.0,-0.53753662109375
innermodel,30.0,0.0,100.818794,6.974984495319287,0.0,0.2179365927295868,07:18,0,0.0,0.0,0.0,-0.3373870849609375
innermodel,30.0,0.0,100.66074,6.9879864600155095,0.0,0.24839153912831458,07:21,0,0.0,0.0,0.0,-0.158050537109375
innermodel,30.0,0.0,100.66105,7.00002336203936,0.0,0.27800458407764506,07:24,0,0.0,0.0,0.0,0.00030517578125
innermodel,30.0,0.0,101.052864,7.0294355598695075,0.0,0.30628773243016094,07:27,0,0.0,0.0,0.0,0.391815185546875
innermodel,30.0,0.0,101.70436,7.0464051243483,0.0,0.3328042145160682,07:30,0,0.0,0.0,0.0,0.6514968872070312
innermodel,30.0,0.0,101.43629,6.981286618063216,0.0,0.35717094684677264,07:33,0,0.0,0.0,0.0,-0.26807403564453125
innermodel,30.0,0.0,100.46815,6.9279542813518145,0.0,0.37905998240068406,07:36,0,0.0,0.0,0.0,-0.9681396484375
innermodel,30.0,0.0,99.019394,-10.611511678246572,0.0,0.39819904292438824,07:39,0,0.0,0.0,0.0,-1.4487533569335938
